date,London,South East,East Anglia,East Midlands,Yorkshire & Humber,Scotland,North West,South West,West Midlands
2005-07-01,0.49,1.1,0.73902804,0.72792447,0.66999996,0.69707406,0.69,0.7100233,0.79
2005-08-01,0.5,0.71000004,0.59,0.72792447,0.8,0.69707406,0.70004463,0.7100233,0.59
2005-09-01,0.65999997,0.76,0.75,0.72,0.59,0.55,0.59,0.69,0.69
2005-10-01,0.45,0.92,0.73902804,0.58,0.7064718,0.69707406,0.70004463,0.79,0.64
2005-11-01,0.7117109,0.9433333,0.69,0.87,0.79,0.79,0.85,0.7100233,0.69
2005-12-01,0.67,0.75,0.99,0.72792447,0.69,0.765,0.745,0.7100233,0.71674305
2006-01-01,0.7117109,1.05,0.75,0.79,0.7064718,0.69707406,0.70004463,0.7100233,0.71674305
2006-02-01,0.745,0.69,0.6,0.66999996,0.65,0.72,0.59,0.7100233,0.71674305
2006-03-01,0.7117109,0.99,0.73902804,0.72792447,0.79,0.69707406,1.09,0.79,0.99
2006-04-01,0.8,0.7577874,0.80333334,0.7733333,0.7064718,0.675,0.7,0.49,0.6433333
2006-05-01,0.6,0.7577874,0.73902804,0.64,0.7064718,0.69707406,0.70004463,0.7100233,0.56
2006-06-01,0.79,0.99,0.73902804,0.72792447,0.5,0.84000003,0.8,0.68,0.71674305
2006-07-01,0.65,0.5,0.73902804,0.6933333,0.98,0.69,0.69,0.66999996,0.65
2006-08-01,0.5,0.775,0.5,0.72792447,0.76,0.69707406,0.69,0.64,0.39
2006-09-01,0.7117109,0.72,0.9,0.72792447,0.84000003,0.69707406,0.69666666,0.99,0.71674305
2006-10-01,0.69,1.2,0.73902804,0.7766667,0.7064718,0.69707406,0.70004463,0.75,0.89
2006-11-01,0.96000004,1.095,0.73902804,0.84000003,0.805,0.69707406,0.70004463,0.775,0.71674305
2006-12-01,0.7117109,0.82,0.73902804,0.85,0.79,0.79,0.76,0.7100233,0.89
2007-01-01,0.7117109,0.925,0.89,0.72792447,0.62,0.69707406,0.77,0.7100233,0.71674305
2007-02-01,0.7117109,1.14,0.73902804,0.72792447,0.99,0.79,0.89,0.7100233,1.0600001
2007-03-01,1.09,0.5,0.73902804,0.64,0.99,0.69707406,0.51,0.7,0.78999996
2007-04-01,0.79,0.7966667,0.73902804,0.69,0.7064718,0.69707406,0.79,0.7100233,0.62
2007-05-01,0.77666664,0.65,0.75,0.72792447,0.72,0.65,0.65,0.65,0.65
2007-06-01,0.5,0.75,0.73902804,0.59,0.7064718,0.85,0.59,0.7100233,0.75
2007-07-01,0.69,0.79,0.75,0.75,0.59,0.69707406,0.70004463,0.7100233,0.71674305
2007-08-01,0.99,0.7,0.85,0.72792447,0.69,0.73,0.70004463,1.19,0.64
2007-09-01,0.85,0.9825,0.73902804,0.72792447,0.85,0.69707406,0.82500005,0.7100233,0.71674305
2007-10-01,0.865,0.85,0.85,0.8775,0.7064718,0.97,0.68,0.95,0.95
2007-11-01,0.83,0.925,0.73902804,0.72792447,0.82,0.69707406,0.99,0.85,0.71674305
2007-12-01,0.78,0.75,0.73902804,0.72792447,0.95,0.82,0.71000004,0.89,0.71674305
